#{"t_start": 1775351827.665667, "env_id": "ALE/MontezumaRevenge-v5"}
r,l,t
0.0,243,4.534554
0.0,371,6.707433
0.0,313,8.619012
0.0,315,10.405121
0.0,226,11.583763
0.0,236,12.967749
0.0,259,14.457292
0.0,338,16.602227
0.0,407,21.791557
0.0,271,25.106333
0.0,294,29.119406
0.0,369,33.73469
0.0,177,35.21451
0.0,247,36.882936
0.0,306,39.362124
0.0,202,40.480867
0.0,365,42.859972
0.0,391,45.549125
0.0,185,46.985422
0.0,182,47.866896
0.0,570,52.717971
0.0,197,53.946187
0.0,171,55.026047
0.0,237,56.524746
0.0,1863,83.37571
0.0,5600,186.245622
0.0,12586,383.80997
