#{"t_start": 1775351828.0995653, "env_id": "ALE/MontezumaRevenge-v5"}
r,l,t
0.0,239,3.907264
0.0,357,6.03399
0.0,200,7.1182
0.0,383,9.534958
0.0,281,11.070175
0.0,217,12.230613
0.0,207,13.200405
0.0,258,14.600202
0.0,236,15.915682
0.0,292,18.530117
0.0,336,22.983919
0.0,297,27.141957
0.0,345,31.307476
0.0,426,36.26377
0.0,243,38.029885
0.0,188,39.213924
0.0,646,44.048017
0.0,199,45.013007
0.0,288,47.541596
0.0,283,49.353479
0.0,252,51.229519
0.0,228,52.795983
0.0,201,54.162168
0.0,245,55.528706
0.0,538,62.209663
0.0,1237,79.799765
0.0,672,88.860595
0.0,18779,399.629419
0.0,12993,620.855785
