#{"t_start": 1775351828.0135922, "env_id": "ALE/MontezumaRevenge-v5"}
r,l,t
0.0,311,4.77081
0.0,480,7.760288
0.0,677,12.436872
0.0,211,13.528085
0.0,280,15.161211
0.0,244,16.492365
0.0,299,19.930936
0.0,208,21.555279
0.0,240,24.458111
0.0,315,28.884078
0.0,500,35.467238
0.0,324,38.300197
0.0,247,40.015411
0.0,326,41.882931
0.0,190,42.798825
0.0,361,45.575529
0.0,179,46.84627
0.0,247,48.263096
0.0,282,50.148601
0.0,341,52.802651
0.0,202,53.952179
0.0,703,61.769848
0.0,947,74.822547
0.0,1164,91.080793
0.0,11897,295.983523
0.0,27000,748.01857
