#{"t_start": 1775351827.9187293, "env_id": "ALE/MontezumaRevenge-v5"}
r,l,t
0.0,291,4.607409
0.0,360,6.582962
0.0,251,8.065542
0.0,155,8.7798
0.0,299,10.337337
0.0,240,11.632167
0.0,286,13.365245
0.0,223,14.484708
0.0,178,15.36419
0.0,363,18.902128
0.0,180,20.781403
0.0,168,22.085479
0.0,235,24.685775
0.0,315,29.133886
0.0,312,32.7333
0.0,232,34.895373
0.0,441,38.906358
0.0,232,40.477287
0.0,242,41.776753
0.0,201,42.938144
0.0,240,44.425617
0.0,223,46.249077
0.0,197,47.381334
0.0,221,48.719855
0.0,438,52.243635
0.0,237,53.926071
0.0,349,56.614432
0.0,1295,74.880906
0.0,27000,518.483432
