#{"t_start": 1775351828.1784573, "env_id": "ALE/MontezumaRevenge-v5"}
r,l,t
0.0,282,4.423079
0.0,451,7.128005
0.0,223,8.277361
0.0,296,9.787974
0.0,279,11.388439
0.0,223,12.654366
0.0,306,14.426327
0.0,322,16.604253
0.0,457,23.144051
0.0,297,26.878119
0.0,265,30.021068
0.0,268,33.13782
0.0,307,35.985466
0.0,222,37.700356
0.0,232,39.201742
0.0,303,40.918006
0.0,341,43.253596
0.0,183,44.099797
0.0,316,46.61227
0.0,404,49.48387
0.0,350,52.450187
0.0,202,53.835507
0.0,203,54.987166
0.0,184,55.971544
0.0,27000,498.393449
