#{"t_start": 1775351827.8395407, "env_id": "ALE/MontezumaRevenge-v5"}
r,l,t
0.0,210,4.051062
0.0,191,4.910882
0.0,286,6.345363
0.0,208,7.515868
0.0,162,8.35512
0.0,373,10.594417
0.0,201,11.694398
0.0,378,14.191579
0.0,167,14.993415
0.0,331,17.143087
0.0,189,18.902468
0.0,206,21.160153
0.0,201,23.334385
0.0,275,26.625202
0.0,224,29.158613
0.0,355,33.435901
0.0,253,35.873607
0.0,165,36.846308
0.0,504,41.113608
0.0,327,43.207174
0.0,341,45.489021
0.0,270,47.755996
0.0,313,49.73913
0.0,385,52.876732
0.0,193,53.983279
0.0,199,55.154434
0.0,186,56.27505
0.0,994,69.965382
0.0,20368,404.893502
